trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,P,P,True,0,0,HAMMING,7,0.0,1,14,8
2,I,I,True,0,0,HAMMING,7,0.0,1,14,8
3,Z,Z,True,0,0,HAMMING,7,0.0,1,14,8
4,Q,Q,True,0,0,HAMMING,7,0.0,1,14,8
5,P,P,True,0,0,HAMMING,7,0.0,1,14,8
6,A,A,True,0,0,HAMMING,7,0.0,1,14,8
7,B,B,True,0,0,HAMMING,7,0.0,1,14,8
8,N,N,True,0,0,HAMMING,7,0.0,1,14,8
9,C,C,True,0,0,HAMMING,7,0.0,1,14,8
10,P,P,True,0,0,HAMMING,7,0.0,1,14,8
11,H,H,True,0,0,HAMMING,7,0.0,1,14,8
12,W,W,True,0,0,HAMMING,7,0.0,1,14,8
13,Q,Q,True,0,0,HAMMING,7,0.0,1,14,8
14,J,J,True,0,0,HAMMING,7,0.0,1,14,8
15,L,L,True,0,0,HAMMING,7,0.0,1,14,8
16,T,T,True,0,0,HAMMING,7,0.0,1,14,8
17,C,C,True,0,0,HAMMING,7,0.0,1,14,8
18,T,T,True,0,0,HAMMING,7,0.0,1,14,8
19,J,J,True,0,0,HAMMING,7,0.0,1,14,8
20,L,L,True,0,0,HAMMING,7,0.0,1,14,8
